"Elementary School","Address","Neighborhood","School Hours","Earliest Drop Off Time","After School Hours","Grades","Phone","Website","Contact Page","Provides Before Care","Provides After Care","Before Care Start Time","Before Care Provider","Before Care Info","After Care End Time","After Care Provider","After Care Info","lat","lon"
"HARVARD","7525 S HARVARD","Greater Grand Crossing","08:45 AM-03:45 PM","8:20AM","3:45 PM - 5:45 PM","PK-8","(773) 535-3045","https://harvardcougars.org","https://harvardcougars.org/apps/contact","","True","","","","","","""Harvard School of Excellence offer a wide range of extra-curricular activities."" <a href=""https://www.harvardcougars.org/apps/pages/index.jsp?uREC_ID=462470&type=d"">[1]</a>
","41.757348"," -87.632743"
"HAUGAN","4540 N HAMLIN AVE","Albany Park","08:15 AM-03:15 PM","","","PK-8","(773) 534-5040","http://haugan.cps.edu","http://haugan.cps.edu/apps/contact","True","True","7:00 AM","Before School Care Drop In","""[Before School Care Drop In]"" <a href=""https://www.haugan.cps.edu/apps/events/"">[1]</a>
""[Before School Care Drop In](/apps/events/event.jsp?eREC_ID=4471395&d=2024-09-16&id=0)"" <a href=""https://www.haugan.cps.edu/apps/events/index.jsp?id=0#today"">[2]</a>
","4:00 PM","OST - Robotics I, Drama Club, Haugan Hawk Whistlers, Fuego Dance Club","""[OST - Robotics I, Drama Club, Haugan Hawk Whistlers, Fuego Dance Club]"" <a href=""https://www.haugan.cps.edu/apps/events/"">[1]</a>
""[OST - Robotics I, Drama Club, Haugan Hawk Whistlers, Fuego Dance Club](/apps/events/event.jsp?eREC_ID=4471404&d=2024-09-16&id=0)"" <a href=""https://www.haugan.cps.edu/apps/events/index.jsp?id=0#today"">[2]</a>
","41.964037"," -87.723134"
"HAWTHORNE","3319 N CLIFTON AVE","Lake View","8:45AM - 3:45PM","8:15 AM","3:45 PM - 6:00 PM","K-8","(773) 534-5550","https://www.hawthorneacad.org","https://www.hawthorneacad.org/apps/contact","","","","","","","","","41.942283"," -87.657715"
"HAY","1018 N LARAMIE AVE","Austin","7:45 AM - 2:45 PM","07:30 AM","","PK-8","(773) 534-6000","https://johnhayacademy.org","https://johnhayacademy.org/apps/contact","","","","","","","","","41.899179"," -87.755819"
"HAYT","1518 W GRANVILLE AVE","Edgewater","08:15 AM-03:15 PM","7:45 AM","4:30 PM","PK-8","(773) 534-2040","https://hayt.cps.edu","https://hayt.cps.edu/apps/contact","","","","","","","","","41.994549"," -87.66851"
"HEALY","3010 S PARNELL AVE","Bridgeport","07:45 AM-02:45 PM","7:30 AM","3:00 PM - 4:00 PM","K-8","(773) 534-9190","http://healy.cps.edu/","http://healy.cps.edu/contact/","True","True","7:00 AM","Right at School","""""Before school care is available from 7:00 AM to the start of the school day through Right at School."""" <a href=""http://healy.cps.edu/ost-faqs-sy25.html"">[1]</a>
","6:00 PM","Right at School","""""After school care is available from the end of the school day until 6:00 PM through Right at School."""" <a href=""http://healy.cps.edu/ost-faqs-sy25.html"">[1]</a>
","41.839603"," -87.640346"
"HEARST","4640 S LAMON AVE","Garfield Ridge","08:45 AM-03:45 PM","8:30","3:45-5:00","PK-8","(773) 535-2376","https://www.hearst.cps.edu","https://www.hearst.cps.edu/contact.html","","True","","","","","Union League Boys and Girls Club","""Club One - After School Program"" <a href=""https://www.hearst.cps.edu/pdf1920/1920communityagencies.pdf"">[1]</a>
","41.808183"," -87.745732"
"HEDGES","4747 S WINCHESTER AVE","New City","7:45 AM-2:45 PM","","","PK-8","(773) 535-7360","https://hedgescps.org","https://hedgescps.org/apps/contact","","","","","","","","","41.80712"," -87.673333"
"HEFFERAN","4409 W WILCOX ST","West Garfield Park","08:00 AM-03:00 PM","7:40 AM","","PK-8","(773) 534-6192","https://hefferan.cps.edu","https://hefferan.cps.edu/apps/contact","","","","","","","","","41.878672"," -87.735808"
"HENDERSON","5650 S WOLCOTT AVE","West Englewood","07:45 AM-02:45 PM","7:30AM","3:00PM-5:00PM","PK-8","(773) 535-9080","http://henderson.cps.edu","http://henderson.cps.edu/contact/","","True","","","","","Family Focus","""Family Focus After School Programs"" <a href=""http://henderson.cps.edu/student-activities.html"">[1]</a>
""Henderson Elementary partnered with Family Focus for a 21st Century Community Learning Center Grant funded by the Illinois State Board Education to provide high quality academic and enrichment programs for students during out-of-school-time to help them succeed in the classroom."" <a href=""http://henderson.cps.edu/after-care.html"">[2]</a>
""[After Care](/after-care.html)"" <a href=""http://henderson.cps.edu/pac.html"">[3]</a>
","41.790599"," -87.671893"
"HENDRICKS","4316 S PRINCETON AVE","Fuller Park","8:05AM - 3:05PM","7:40 AM","3:05 PM - 4:15 PM","PK-8","(773) 535-1696","https://hendricksacademy.org","https://hendricksacademy.org/apps/contact","","","","","","","","","41.815796"," -87.63367"
"HENRY","4250 N SAINT LOUIS AVE","Irving Park","08:15 AM-03:15 PM","","","PK-8","(773) 534-5060","http://patrickhenryes.cps.edu","http://patrickhenryes.cps.edu/contact/","","","","","","","","","41.958997"," -87.715638"
"HERNANDEZ","3510 W 55TH ST","Gage Park","08:15 AM-03:15 PM","7:50 AM","","6-8","(773) 535-8850","https://hernanms.enschool.org/splash/","","","","","","","","","","41.793487"," -87.711376"
"HERZL","3711 W DOUGLAS BLVD","North Lawndale","09:00 AM-04:00 PM","8:15AM","4:00-5:45PM","PK-8","(773) 534-1480","https://www.herzlschoolofexcellence.org","https://www.herzlschoolofexcellence.org/apps/contact","","","","","","","","","41.862089"," -87.719"
"HIBBARD","3244 W AINSLIE ST","Albany Park","08:15 AM-03:15 PM","","","PK-6","(773) 534-5191","http://hibbard.cps.edu","http://hibbard.cps.edu/apps/contact","","","","","","","","","41.970343"," -87.710367"
"HIGGINS","11710 S MORGAN ST","West Pullman","08:30 AM-03:30 PM","8:20 AM","3:30 PM - 5:00 PM","PK-8","(773) 535-5625","https://higginsacademy.cps.edu","https://higginsacademy.cps.edu/apps/contact","","","","","","","","","41.681039"," -87.647"
"HITCH","5625 N MCVICKER AVE","Norwood Park","08:00 AM-03:00 PM","7:50 AM","","PK-8","(773) 534-1189","https://hitch.cps.edu","https://hitch.cps.edu/apps/contact","True","True","7am","Hitch staff","""Before care will begin at 7am"" <a href=""https://hitch.cps.edu/husky-care/"">[1]</a>
","5:45pm","Hitch staff","""After Care will run from 3-5:45pm."" <a href=""https://hitch.cps.edu/husky-care/"">[1]</a>
","41.98368"," -87.779129"
"HOLDEN","1104 W 31ST ST","Bridgeport","08:20 AM-03:20 PM","8:00 AM","3:20 - 4:20 PM","PK-8","(773) 535-7200","https://holdenschool.org","https://holdenschool.org/apps/contact","","True","","","","","Bosely Park","""**Bosely Park** \- After School"" <a href=""https://www.holdenschool.org/apps/pages/index.jsp?uREC_ID=198266&type=d"">[1]</a>
""**Holden After-School Partnerships**<br>- Bosely Park (Sports & Child Care)"" <a href=""https://www.holdenschool.org/apps/pages/index.jsp?uREC_ID=198262&type=d"">[2]</a>
","41.838035"," -87.653797"
"HOLMES","955 W GARFIELD BLVD","Englewood","07:45 AM-02:45 PM","7:35 AM","","PK-8","(773) 535-9025","http://owholmes.cps.edu","","","True","","","","","Family Focus","""Family Focus supports children and youth ages 6-18 through enhanced educational opportunities programs to explore science, technology, engineering and math, as well as sports and cultural activities that encourage healthy development, self-confidence and the ability to create positive relationships."" <a href=""http://owholmes.cps.edu/after-school.html"">[1]</a>
","41.793795"," -87.649801"
"HOWE","720 N LOREL AVE","Austin","08:45 AM-03:45 PM","","","PK-8","(773) 534-6060","https://howejets.org","https://howejets.org/apps/contact","","","","","","","","","41.89362"," -87.759404"
"HOYNE","8905 S CRANDON AVE","Calumet Heights","8:15 AM-3:15 PM","8:00 AM","MONDAY - THURSDAY 3:15 PM - 4:15 PM","PK-8","(773) 535-6425","https://thomashoyne.org","https://thomashoyne.org/apps/contact","","","","","","","","","41.733346"," -87.568234"
"HUGHES C","4247 W 15TH ST","North Lawndale","08:05 AM-03:05 PM","","","PK-8","(773) 534-1762","https://hughesce.cps.edu","https://hughesce.cps.edu/contact.html","","","","","","","","","41.860526"," -87.731783"
"HUGHES L","240 W 104TH ST","Roseland","07:45 AM-02:45 PM","7:30 AM","3:00 PM - 5:00 PM","PK-8","(773) 535-5075","http://lhughes.cps.edu","http://lhughes.cps.edu/apps/contact","True","True","7:30 AM","","""Earliest Drop Off | 7:30 AM | — | —"" <a href=""https://www.lhughes.cps.edu/apps/bell_schedules/"">[1]</a>
","5:00 PM","","""After School Hours | 3:00 PM | 5:00 PM | 120 min"" <a href=""https://www.lhughes.cps.edu/apps/bell_schedules/"">[1]</a>
","41.70535"," -87.629874"
"HURLEY","3849 W 69TH PL","West Lawn","08:00 AM-03:00 PM","","3:00PM-5:45PM","PK-8","(773) 535-2068","http://hurley.cps.edu","http://hurley.cps.edu/apps/contact","","","","","","","","","41.766793"," -87.719547"
"INTER-AMERICAN","851 W WAVELAND AVE","Lake View","9:00 AM-4:00 PM","8:30AM","","PK-8","(773) 534-5490","https://iamschicago.com","https://iamschicago.com/apps/contact","","True","","","","","","""Afterschool Programs"" <a href=""https://www.iamschicago.com/apps/staff/"">[1]</a>
","41.949011"," -87.651579"
"IRVING","749 S OAKLEY BLVD","Near West Side","7:30 AM - 2:30 PM","7:15 AM","2:30 - 3:30PM","PK-8","(773) 534-7295","https://irving.cps.edu","https://irving.cps.edu/apps/contact","","","","","","","","","41.871603"," -87.683621"
"JACKSON M","917 W 88TH ST","Auburn Gresham","07:45 AM-02:45 PM","7:30 AM","3:00 PM- 5:45 PM","PK-8","(773) 535-3341","http://www.mjacksoncps.com/","http://www.mjacksoncps.com/apps/contact","True","True","7:30 AM","","""Earliest Drop Off | 7:30 AM | — | —"" <a href=""https://www.mjacksoncps.com/apps/bell_schedules/"">[1]</a>
","5:00 PM","","""After School Hours | 2:45 PM | 5:00 PM | 135 min"" <a href=""https://www.mjacksoncps.com/apps/bell_schedules/"">[1]</a>
","41.734133"," -87.646772"
"JAHN","3149 N WOLCOTT AVE","North Center","08:00 AM-03:00 PM","7:45AM","3:00 PM - 6:00 PM","PK-8","(773) 534-5500","https://www.jahnschool.com","https://www.jahnschool.com/apps/contact","","True","","","""None"" <a href=""https://www.jahnschool.com/apps/pages/index.jsp?uREC_ID=2804869&type=d&pREC_ID=2312768"">[1]</a>
","6 PM","YMCA","""After-school care with the YMCA is available for Full Day PreK-7th Grade students and runs from 3 pm - 6 pm at Jahn."" <a href=""https://www.jahnschool.com/apps/pages/index.jsp?uREC_ID=2804869&type=d&pREC_ID=2312768"">[1]</a>
""After-school care with the YMCA is available for Full Day PreK-7th Grade students and runs from 3-6 PM at Jahn."" <a href=""https://www.jahnschool.com/apps/pages/aftercare"">[2]</a>
""After-school care with the YMCA is available for Full Day PreK-7th Grade students and runs from 3-6 PM at Jahn."" <a href=""http://www.jahnschool.com/aftercare/"">[3]</a>
","41.939255"," -87.675815"
"JAMIESON","5650 N MOZART ST","West Ridge","8:45AM-3:45PM","8:30AM (7:30AM W/BEFORE SCHOOL CARE)","3:45PM-4:45PM (UNTIL 6:00PM W/AFTER SCHOOL CARE)","PK-8","(773) 534-2395","https://jamieson.cps.edu","https://jamieson.cps.edu/apps/contact","True","True","7:30 a.m.","Jamieson","""Jamieson is pleased to announce the start of our before-school care program. We hope this program provides parents with an option of a safe, friendly, and comforting environment for child care one hour before school begins (7:30 a.m. to 8:30 a.m.)."" <a href=""https://www.jamieson.cps.edu/apps/pages/index.jsp?uREC_ID=415809&type=d"">[1]</a>
","","Right at School","""After School-Right at School"" <a href=""https://www.jamieson.cps.edu/apps/pages/index.jsp?type=d&uREC_ID=344321&pREC_ID=645226"">[1]</a>
","41.984649"," -87.700535"
"JENSEN","3030 W HARRISON ST","East Garfield Park","09:00 AM-04:00 PM","08:45 AM","04:15-05:15","PK-8","(773) 534-6840","http://jensen.cps.edu","http://jensen.cps.edu/apps/contact","","","","","","","","","41.873823"," -87.702247"
"JOHNSON","1420 S ALBANY AVE","North Lawndale","08:45 AM-03:45 PM","","","PK-8","(773) 534-1829","https://johnsonwildcats.org/","https://johnsonwildcats.org/apps/contact","","","","","","","","","41.861844"," -87.703145"
"JOPLIN","7931 S HONORE ST","Auburn Gresham","08:45 AM-03:45 PM","","","PK-8","(773) 535-3425","https://scottjoplinschool.org","https://scottjoplinschool.org/apps/contact","","","","","","","","","41.749347"," -87.669371"
"JORDAN","7414 N WOLCOTT AVE","Rogers Park","08:00 AM-03:00 PM","8:00 AM","3:00 PM - 4:30 PM","PK-8","(773) 534-2220","https://jordan.cps.edu","https://jordan.cps.edu/apps/contact","","","","","","","","","42.017095"," -87.677768"
"JUNGMAN","1746 S MILLER ST","Lower West Side","7:45 AM-2:45 PM","7:30 AM","2:45 PM - 4:00PM","PK-8","(773) 534-7375","https://www.jungmanstem.org","https://www.jungmanstem.org/apps/contact","","True","","","","","","""_“This is a phenomenal school! They have a great STEM program, free after-school classes, and free all-day summer camps. It’s really remarkable the programming and coding that students pre-K to middle grades do. There is no other school in the city like Jungman.”_"" <a href=""https://www.jungmanstem.org/"">[1]</a>
""We Offer FREE

## After-School Care

Enjoy some additional time to take care of your responsibilities, knowing that your children are being cared for in a safe environment. Jungman students can continue their learning through fun and educational after-school programs hosted by our amazing partners and faculty."" <a href=""https://www.jungmanstem.org/why-jungman/"">[2]</a>
","41.858073"," -87.652307"
"KANOON","2233 S KEDZIE AVE","South Lawndale","7:45 AM-2:45 PM","","2:45- 5:30","PK-8","(773) 534-1736","https://kanoonmagnet.com","https://kanoonmagnet.com/apps/contact","","","","","","","","","41.850779"," -87.705118"
"KELLER","3020 W 108TH ST","Mount Greenwood","07:30 AM-02:30 PM","","","1-8","(773) 535-2636","https://keller.cps.edu","https://keller.cps.edu/apps/contact","","","","","","","","","41.697178"," -87.697284"
"KELLMAN","3030 W ARTHINGTON ST","East Garfield Park","08:00 AM-03:00 PM","07:00 AM","","PK-8","(773) 534-6602","http://www.kellman.cps.edu/","http://www.kellman.cps.edu/apps/contact","","","","","","","","","41.870176"," -87.702169"
"KELLOGG","9241 S LEAVITT ST","Beverly","07:45 AM-02:45 PM","7:30AM BREAKFAST","","K-8","(773) 535-2590","http://kellogg.cps.edu","http://kellogg.cps.edu/apps/contact","","True","","","""At this time, we will not have a before care option due to low enrollment numbers."" <a href=""https://www.kellogg.cps.edu/apps/pages/index.jsp?uREC_ID=490191&type=d"">[1]</a>
","","Right at School","""We are excited to share that we are partnering with Right at School to provide our after-school care this school year."" <a href=""https://www.kellogg.cps.edu/apps/pages/index.jsp?uREC_ID=490191&type=d"">[1]</a>
","41.725271"," -87.677238"
"KERSHAW","6450 S LOWE AVE","Englewood","07:45 AM-02:45 PM","7:45","2:45- 5:15","PK-8","(773) 535-3050","https://kershawmagnet.org","https://kershawmagnet.org/apps/contact","","","","","","","","","41.776461"," -87.640898"
"KILMER","6700 N GREENVIEW AVE","Rogers Park","9:00AM - 4:00PM","9:00AM","4:00PM","PK-8","(773) 534-2115","https://kilmerelementary.org","https://kilmerelementary.org/apps/contact","True","True","7:45-9am","YMCA","""Before Care: 7:45-9am"" <a href=""https://www.kilmerelementary.org/apps/pages/index.jsp?uREC_ID=584850&type=d"">[1]</a>
","6pm","YMCA","""After Care: 4-6pm"" <a href=""https://www.kilmerelementary.org/apps/pages/index.jsp?uREC_ID=584850&type=d"">[1]</a>
","42.003648"," -87.668228"
"KING ES","644 W 71ST ST","Englewood","8:45 AM-3:45 PM","8:30AM","4-6PM","PK-8","(773) 535-3875","https://kingacademy.cps.edu","https://kingacademy.cps.edu/apps/contact","","","","","","","","","41.765343"," -87.64134"
"KINZIE","5625 S MOBILE AVE","Garfield Ridge","07:30AM-02:30 PM","7:25 AM","","PK-8","(773) 535-2425","http://kinzie.cps.edu","","","","","","","","","","41.789972"," -87.779488"
"KIPLING","9351 S LOWE AVE","Washington Heights","07:45 AM-02:45 PM","7:45","2:45 - 3:45","PK-8","(773) 535-3151","https://www.kiplingchicago.org","https://www.kiplingchicago.org/apps/contact","","","","","","","","","41.723635"," -87.639526"
"KOZMINSKI","936 E 54TH ST","Hyde Park","07:45 AM-02:45 PM","7:30 AM","2:45 PM - 5:15 PM","PK-8","(773) 535-0980","https://kozminski.cps.edu","https://kozminski.cps.edu/apps/contact","","","","","","","","","41.79801"," -87.602487"
"LANGFORD","6010 S THROOP ST","West Englewood","08:15 AM-03:15 PM","","","PK-8","(773) 535-9180","https://langfordacademy.org","https://langfordacademy.org/apps/contact","","","","","","","","","41.784689"," -87.657175"
"LARA","4619 S WOLCOTT AVE","New City","08:00 AM-03:00 PM","","","PK-8","(773) 535-4389","https://lara.cps.edu","https://lara.cps.edu/apps/contact","","","","","","","","","41.809778"," -87.672187"
"LASALLE","1734 N ORLEANS ST","Lincoln Park","09:00 AM-04:00 PM","8:30 AM","4:00 PM - 5:00 PM","K-8","(773) 534-8470","https://www.lasallechicago.com","https://www.lasallechicago.com/apps/contact","True","True","","Right at School, LLC","""Right At School provides safe, engaging and meaningful in-school and extracurricular programs to enrich the lives of students, give parents peace of mind and enable schools to focus on their academic mission."" <a href=""https://www.lasallechicago.com/apps/pages/index.jsp?uREC_ID=491029&type=d"">[1]</a>
","","Right at School, LLC","""Right At School provides safe, engaging and meaningful in-school and extracurricular programs to enrich the lives of students, give parents peace of mind and enable schools to focus on their academic mission."" <a href=""https://www.lasallechicago.com/apps/pages/index.jsp?uREC_ID=491029&type=d"">[1]</a>
","41.913907"," -87.637571"
